"id","nome","lat","lng","cidade","bairro","rua","ais","categoria"
"1","01 - Av. Torres de Melo - Av. Nossa Senhora de Lurdes","-3906182","-38387612","Aquiraz",,,"","EQUIPES FORTALEZA"
"2","02 - Rua da Integracao - Em Frente ao Forum","-3905772222222222","-38389734","Aquiraz",,,"","EQUIPES FORTALEZA"
"3","03 - Rua Virgilio Coelho - Rua Antonio Brasil","-3902285","-38390791","Aquiraz",,,"","EQUIPES FORTALEZA"
"4","04 - Rua Tiburcio Targino - Rua Maj. Jose Camara","-3904915","-38388013","Aquiraz",,,"","EQUIPES FORTALEZA"
"5","05 - Av. Santos Dumont - Rua Francisco Camara","-3902379","-3838888","Aquiraz",,,"","EQUIPES FORTALEZA"
"6","06 - Rua Virgilio Coelho - Rua Francisco Camara","-3903227","-38389235","Aquiraz",,,"","EQUIPES FORTALEZA"
"7","07 - Rua Francisca Faustino de Castro - Travessa Maria Luiza Baima","-3904995","-38380952","Aquiraz",,,"","EQUIPES FORTALEZA"
"8","08 - Av. Nossa Senhora de Lurdes - Entrada de Aquiraz","-391324","-38388086","Aquiraz",,,"","EQUIPES FORTALEZA"
"9","09 - Rua do Bonito - Chacara da Prainha","-390652","-38377572","Aquiraz",,,"","EQUIPES FORTALEZA"
"10","10 - Av. Airton Sena - Praca da Chacara da Prainha","-3902854","-38375298","Aquiraz",,,"","EQUIPES FORTALEZA"
"11","11 - Rua Virgilio Coelho - Av. Torres de Melo","-3901863","-38393079","Aquiraz",,,"","EQUIPES FORTALEZA"
"12","12 - Rua Alberto Targino - CE-207","-3902425","-38384711","Aquiraz",,,"","EQUIPES FORTALEZA"
"13","ponto 13","-3822540862108365","-3842120760269025","Aquiraz",,,"","EQUIPES FORTALEZA"
"14","ponto 14","-3832607674452388","-3840629967007740,5","Aquiraz",,,"","EQUIPES FORTALEZA"
"15","ponto 15","-3842184160607499","-3839951520748706","Aquiraz",,,"","EQUIPES FORTALEZA"
"16","Ponto 01","-4578351","-37779545","Aracati",,,"","EQUIPES FORTALEZA"
"17","Ponto 02","-4571775","-37774625","Aracati",,,"","EQUIPES FORTALEZA"
"18","Ponto 03","-4570683","-37773569","Aracati",,,"","EQUIPES FORTALEZA"
